source,task,source_lang,target_lang,model,strategy,few_shot_size,trainable_params,accuracy,f1
real,ner,hi,bho,xlm-roberta-base,zero-shot,0,278000000,0.9558,0.9392
real,ner,bn,bho,xlm-roberta-base,zero-shot,0,278000000,0.9558,0.9328
real,ner,mr,bho,xlm-roberta-base,zero-shot,0,278000000,0.9877,0.9755
real,ner,hi,bho,xlm-roberta-base,few-shot,25,278000000,0.9785,0.9587
real,ner,bn,bho,xlm-roberta-base,few-shot,25,278000000,0.99,0.9713
real,ner,mr,bho,xlm-roberta-base,few-shot,25,278000000,0.9507,0.9335
real,ner,hi,bho,xlm-roberta-base,few-shot,50,278000000,0.9855,0.9571
real,ner,bn,bho,xlm-roberta-base,few-shot,50,278000000,0.9689,0.9446
real,ner,mr,bho,xlm-roberta-base,few-shot,50,278000000,0.99,0.9775
real,ner,hi,bho,xlm-roberta-base,few-shot,100,278000000,0.9552,0.9397
real,ner,bn,bho,xlm-roberta-base,few-shot,100,278000000,0.9675,0.9518
real,ner,mr,bho,xlm-roberta-base,few-shot,100,278000000,0.9666,0.9472
real,ner,hi,bho,xlm-roberta-base,lora,25,9210974,0.99,0.9777
real,ner,bn,bho,xlm-roberta-base,lora,25,7026540,0.9556,0.935
real,ner,mr,bho,xlm-roberta-base,lora,25,7030830,0.99,0.9799
real,ner,hi,bho,xlm-roberta-base,lora,50,6468174,0.9532,0.9346
real,ner,bn,bho,xlm-roberta-base,lora,50,9084445,0.9795,0.9556
real,ner,mr,bho,xlm-roberta-base,lora,50,5713630,0.958,0.945
real,ner,hi,bho,xlm-roberta-base,lora,100,9630633,0.99,0.9663
real,ner,bn,bho,xlm-roberta-base,lora,100,5606946,0.99,0.9789
real,ner,mr,bho,xlm-roberta-base,lora,100,7450244,0.9552,0.9375
real,ner,hi,bho,xlm-roberta-base,adapter,25,5298114,0.9573,0.9333
real,ner,bn,bho,xlm-roberta-base,adapter,25,8094588,0.9725,0.9459
real,ner,mr,bho,xlm-roberta-base,adapter,25,7126309,0.9643,0.9372
real,ner,hi,bho,xlm-roberta-base,adapter,50,5186297,0.9679,0.9385
real,ner,bn,bho,xlm-roberta-base,adapter,50,8517736,0.9859,0.9668
real,ner,mr,bho,xlm-roberta-base,adapter,50,10748938,0.9488,0.9387
real,ner,hi,bho,xlm-roberta-base,adapter,100,7791272,0.9806,0.9594
real,ner,bn,bho,xlm-roberta-base,adapter,100,4425073,0.9584,0.9315
real,ner,mr,bho,xlm-roberta-base,adapter,100,5398719,0.9528,0.9333
real,ner,multi,bho,xlm-roberta-base,multi-source,0,278000000,0.9639,0.9465
real,ner,hi,mai,xlm-roberta-base,zero-shot,0,278000000,0.989,0.9673
real,ner,bn,mai,xlm-roberta-base,zero-shot,0,278000000,0.9803,0.963
real,ner,mr,mai,xlm-roberta-base,zero-shot,0,278000000,0.97,0.9419
real,ner,hi,mai,xlm-roberta-base,few-shot,25,278000000,0.9523,0.9396
real,ner,bn,mai,xlm-roberta-base,few-shot,25,278000000,0.9575,0.9433
real,ner,mr,mai,xlm-roberta-base,few-shot,25,278000000,0.99,0.9793
real,ner,hi,mai,xlm-roberta-base,few-shot,50,278000000,0.9745,0.9468
real,ner,bn,mai,xlm-roberta-base,few-shot,50,278000000,0.99,0.9649
real,ner,mr,mai,xlm-roberta-base,few-shot,50,278000000,0.9737,0.9594
